hhid,areaid,treatment,hh_edu,hh_gender,hh_size,children,old_biz,area_pop_base,area_debt_total_base,area_business_total_base,area_exp_pc_mean_base,area_literate_head_base,area_literate_base,anyloan_amt_2,informal_amt_2,female_biz_pct_2,hours_week_2,durables_exp_mo_2,temptation_exp_mo_2,total_exp_mo_2,bizprofit_2,bizrev_2,bizemployees_2,girls_school_2,bizassets_2
1,1,1,1.0,1.0,1.0,1.0,0.0,1,3,2,3,0,0,11000.0,0.0,,84.0,138.82982,0.0,4128.3823,0.0,0.0,0.0,1.0,0.0
2,1,1,0.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,25000.0,0.0,,126.0,793.4124,533.1065,6835.4253,0.0,0.0,0.0,1.0,0.0
3,1,1,0.0,1.0,2.0,3.0,1.0,1,3,2,3,0,0,5000.0,0.0,0.0,36.0,1291.1173,0.0,11836.075,2049.1282,2498.9368,0.0,,0.0
4,1,1,0.0,1.0,3.0,3.0,1.0,1,3,2,3,0,0,565000.0,462303.30535368226,1.0,84.0,347.07455,0.0,8740.448,2082.4473,2498.9368,1.0,1.0,2915.4263
5,1,1,0.0,1.0,2.0,2.0,1.0,1,3,2,3,0,0,55000.0,45813.841071085626,0.0,63.0,104.12237,0.0,6607.467,,74634.08,0.0,,34901.816
6,1,1,1.0,1.0,3.0,3.0,1.0,1,3,2,3,0,0,111000.0,88295.76642791048,0.5,56.0,20.824472,333.19156,5612.334,4131.5757,103897.46,0.0,0.0,25280.91
7,1,1,1.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,8000.0,6663.831428521546,0.0,77.0,0.0,0.0,2344.1418,1499.362,7330.2144,0.0,1.0,9662.556
8,1,1,0.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,46000.0,16659.578571303864,,56.0,403.99478,83.29789,4843.7725,0.0,0.0,0.0,,0.0
9,1,1,0.0,1.0,3.0,0.0,1.0,1,3,2,3,0,0,22000.0,0.0,0.33333334,99.0,1057.8832,0.0,11052.241,1431.8907,1807.5643,2.0,,25822.348
10,1,1,1.0,1.0,2.0,2.0,1.0,1,3,2,3,0,0,74000.0,0.0,0.0,0.0,694.1491,416.48947,15666.113,0.0,0.0,0.0,,113743.27
11,1,1,1.0,0.0,2.0,2.0,0.0,1,3,2,3,0,0,24000.0,11661.704999912705,,56.0,216.57452,0.0,7368.5312,0.0,0.0,0.0,0.0,0.0
12,1,1,0.0,0.0,2.0,0.0,0.0,1,3,2,3,0,0,90500.0,0.0,1.0,71.0,371.36978,666.3831,7972.3022,41.648945,249.89368,0.0,,0.0
13,1,1,1.0,1.0,3.0,0.0,1.0,1,3,2,3,0,0,400000.0,333191.5714260773,,224.0,0.0,166.59578,3887.7908,0.0,0.0,0.0,0.0,0.0
14,1,1,0.0,1.0,3.0,3.0,0.0,1,3,2,3,0,0,21000.0,3331.915714260773,,83.0,34.707455,274.88306,6282.466,0.0,0.0,0.0,,0.0
15,1,1,0.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,10000.0,0.0,1.0,24.0,0.0,0.0,1939.5914,666.3831,749.681,0.0,,0.0
16,1,1,1.0,1.0,2.0,3.0,0.0,1,3,2,3,0,0,60000.0,49978.73571391159,,80.0,104.12237,0.0,8712.959,0.0,0.0,0.0,1.0,0.0
17,1,1,0.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,0.0,0.0,,48.0,1284.1759,333.19156,6003.2793,0.0,0.0,0.0,1.0,0.0
18,1,1,1.0,1.0,3.0,1.0,0.0,1,3,2,3,0,0,0.0,0.0,,60.0,0.0,99.95747,2511.154,0.0,0.0,0.0,,0.0
19,1,1,0.0,1.0,2.0,2.0,0.0,1,3,2,3,0,0,72000.0,14160.641785608284,,68.0,444.2554,3248.618,9455.422,0.0,0.0,0.0,,0.0
20,1,1,0.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,21200.0,13077.769178473533,,70.0,694.1491,1491.0322,11458.042,0.0,0.0,0.0,1.0,0.0
21,1,1,0.0,1.0,1.0,2.0,0.0,1,3,2,3,0,0,150000.0,0.0,0.0,56.0,999.5747,166.59578,8897.881,-3082.022,2915.4263,1.0,1.0,0.0
23,1,1,1.0,1.0,3.0,3.0,0.0,1,3,2,3,0,0,,,,,,,,,,,,
24,1,1,0.0,1.0,3.0,3.0,1.0,1,3,2,3,0,0,50000.0,41648.94642825966,0.0,28.0,0.0,333.19156,2867.9463,0.0,0.0,1.0,1.0,2915.4263
25,1,1,0.0,1.0,3.0,3.0,0.0,1,3,2,3,0,0,5000.0,0.0,,48.0,124.94684,0.0,10172.894,0.0,0.0,0.0,1.0,0.0
26,1,1,1.0,0.0,3.0,3.0,0.0,1,3,2,3,0,0,160000.0,83297.89285651932,0.0,56.0,381.782,166.59578,9294.656,2873.7773,4164.8945,1.0,0.75,0.0
27,1,1,0.0,1.0,1.0,0.0,0.0,1,3,2,3,0,0,4000.0,0.0,0.0,35.0,34.707455,416.48947,3478.52,2915.4263,3331.9158,1.0,,0.0
28,1,1,1.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,20000.0,16659.578571303864,,104.0,3817.82,0.0,10248.14,0.0,0.0,0.0,,0.0
29,1,1,0.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,32000.0,0.0,,42.0,138.82982,0.0,10102.6455,0.0,0.0,0.0,,0.0
30,1,1,1.0,1.0,3.0,2.0,0.0,1,3,2,3,0,0,10500.0,416.4894642825966,,166.0,455.01474,499.78735,3189.1292,0.0,0.0,0.0,0.0,0.0
31,1,1,0.0,1.0,2.0,3.0,0.0,1,3,2,3,0,0,25000.0,12494.683928477898,,54.0,0.0,166.59578,4438.9443,0.0,0.0,0.0,1.0,0.0
32,1,1,1.0,1.0,2.0,2.0,1.0,1,3,2,3,0,0,62000.0,45813.841071085626,0.0,80.0,83.29789,133.27663,3339.1348,-641.3938,1874.2026,0.0,,0.0
33,1,1,0.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,405000.0,333191.5714260773,,48.0,360.95752,249.89368,9534.276,0.0,0.0,0.0,,6663.8315
34,1,1,0.0,0.0,2.0,2.0,1.0,1,3,2,3,0,0,60000.0,49978.73571391159,0.6666667,28.0,0.0,0.0,4584.4385,3444.368,13550.068,1.0,,12119.844
35,1,1,0.0,1.0,3.0,3.0,0.0,1,3,2,3,0,0,300000.0,0.0,,42.0,104.12237,0.0,12655.449,0.0,0.0,0.0,1.0,46646.82
36,1,1,0.0,1.0,2.0,1.0,0.0,1,3,2,3,0,0,,,,,,,,,,,,
37,1,1,0.0,1.0,3.0,3.0,1.0,1,3,2,3,0,0,170000.0,0.0,0.0,175.0,1908.91,566.42566,29325.857,-4164.8945,0.0,0.0,,302662.9
38,1,1,1.0,0.0,1.0,2.0,1.0,1,3,2,3,0,0,6000.0,4997.873571391159,,15.0,572.67303,191.58516,2816.9958,0.0,0.0,0.0,1.0,0.0
39,1,1,0.0,1.0,2.0,3.0,0.0,1,3,2,3,0,0,50000.0,0.0,0.0,14.0,930.15985,416.48947,10926.324,16451.334,17492.557,1.0,1.0,27488.305
41,1,1,0.0,1.0,1.0,0.0,1.0,1,3,2,3,0,0,100000.0,49978.73571391159,1.0,91.0,138.82982,249.89368,7445.1655,3306.9263,3331.9158,1.0,,999.5747
42,1,1,1.0,0.0,3.0,3.0,0.0,1,3,2,3,0,0,675800.0,562927.1599243575,,0.0,763.564,166.59578,12291.714,0.0,0.0,0.0,1.0,0.0
43,1,1,1.0,1.0,3.0,3.0,0.0,1,3,2,3,0,0,500.0,416.4894642825966,,30.0,0.0,83.29789,3712.865,0.0,0.0,0.0,1.0,0.0
44,1,1,1.0,0.0,2.0,2.0,0.0,1,3,2,3,0,0,44300.0,12744.577607047457,,166.0,1391.7689,316.53198,9912.449,0.0,0.0,0.0,1.0,0.0
46,1,1,0.0,1.0,3.0,0.0,1.0,1,3,2,3,0,0,200000.0,0.0,,297.0,5997.4487,0.0,12312.816,0.0,0.0,0.0,1.0,13452.609
47,1,1,0.0,1.0,1.0,1.0,0.0,1,3,2,3,0,0,10000.0,0.0,0.0,0.0,343.6038,499.78735,3411.4653,3731.7456,5414.363,1.0,0.0,3331.9158
49,1,1,1.0,0.0,1.0,1.0,0.0,1,3,2,3,0,0,105000.0,0.0,,96.0,475.49216,133.27663,6254.9775,0.0,0.0,0.0,,0.0
50,1,1,0.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,30500.0,25405.857321238393,1.0,117.0,909.3354,83.29789,5129.4844,-520.6118,666.3831,1.0,0.0,0.0
53,1,1,0.0,1.0,2.0,0.0,0.0,1,3,2,3,0,0,46000.0,38317.03071399889,,138.0,4643.8574,416.48947,24911.9,0.0,0.0,0.0,,0.0
54,1,1,0.0,1.0,2.0,2.0,0.0,1,3,2,3,0,0,536500.0,441478.8321395524,,48.0,163.12505,0.0,6288.8525,0.0,0.0,0.0,1.0,0.0
56,1,1,0.0,1.0,2.0,2.0,0.0,1,3,2,3,0,0,78000.0,41648.94642825966,,72.0,263.77664,291.54263,9263.836,0.0,0.0,0.0,,1665.9579
57,1,1,1.0,1.0,2.0,3.0,0.0,1,3,2,3,0,0,0.0,0.0,,6.0,229.06921,41.648945,3012.1907,0.0,0.0,0.0,1.0,0.0
58,1,1,0.0,1.0,3.0,3.0,0.0,1,3,2,3,0,0,15000.0,0.0,,30.0,34.707455,2124.0962,4413.261,0.0,0.0,0.0,,0.0
