,n_per_pol,sim_num,MSE,L1_loss,IOU,min_dosage,best_pol_diff,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
0,10,0,1.804046583300294,2.6090166759483475,0.0,False,0.5258578915859364,0,0,0,0,0,1,0,0
1,10,1,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
2,10,2,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
3,10,3,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
4,10,4,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
5,10,5,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
6,10,6,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
7,10,7,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
8,10,8,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
9,10,9,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
10,10,10,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
11,10,11,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
12,10,12,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
13,10,13,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
14,10,14,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
15,10,15,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
16,10,16,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
17,10,17,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
18,10,18,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
19,10,19,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
20,10,20,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
21,10,21,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
22,10,22,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
23,10,23,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
24,10,24,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
25,10,25,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
26,10,26,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
27,10,27,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
28,10,28,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
29,10,29,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
30,10,30,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
31,10,31,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
32,10,32,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
33,10,33,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
34,10,34,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
35,10,35,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
36,10,36,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
37,10,37,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
38,10,38,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
39,10,39,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
40,10,40,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
41,10,41,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
42,10,42,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
43,10,43,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
44,10,44,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
45,10,45,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
46,10,46,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
47,10,47,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
48,10,48,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
49,10,49,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
50,10,50,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
51,10,51,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
52,10,52,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
53,10,53,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
54,10,54,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
55,10,55,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
56,10,56,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
57,10,57,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
58,10,58,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
59,10,59,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
60,10,60,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
61,10,61,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
62,10,62,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
63,10,63,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
64,10,64,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
65,10,65,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
66,10,66,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
67,10,67,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
68,10,68,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
69,10,69,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
70,10,70,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
71,10,71,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
72,10,72,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
73,10,73,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
74,10,74,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
75,10,75,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
76,10,76,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
77,10,77,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
78,10,78,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
79,10,79,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
80,10,80,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
81,10,81,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
82,10,82,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
83,10,83,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
84,10,84,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
85,10,85,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
86,10,86,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
87,10,87,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
88,10,88,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
89,10,89,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
90,10,90,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
